Date,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,Power_kW,Holiday,Hour,Date Day
2018-02-18 04:00:00,10.516666666666667,60.88500000000001,0.0,0.0,1024.0,1.1148333333333331,0.0,0.0,108.00256740000002,0.0,4,2018-02-18
2018-02-18 05:00:00,10.409166666666668,54.66,0.38433333333333336,0.7127500000000001,1023.1666666666666,1.0619999999999998,0.0,0.0,109.25439070000002,0.0,5,2018-02-18
2018-02-18 06:00:00,10.178333333333333,51.65,0.49266666666666664,0.608,1023.0,0.9326666666666669,0.0,0.0,109.342506,0.0,6,2018-02-18
2018-02-18 07:00:00,10.145000000000001,47.42666666666668,0.0,0.0,1023.1666666666666,18.651333333333337,0.0,0.0,106.99457859999998,0.0,7,2018-02-18
2018-02-18 08:00:00,10.387500000000001,46.143333333333324,0.08208333333333333,0.44025,1024.0,156.36666666666667,0.0,0.0,122.6062656,0.0,8,2018-02-18
2018-02-18 09:00:00,10.500000000000002,45.79916666666667,0.0,0.0,1024.0,331.675,0.0,0.0,144.8245071,0.0,9,2018-02-18
2018-02-18 10:00:00,11.025833333333333,45.66416666666667,0.0,0.0,1024.0,483.15833333333336,0.0,0.0,146.96439030000002,0.0,10,2018-02-18
2018-02-18 11:00:00,12.350833333333334,45.234166666666674,0.0,0.0,1023.3333333333334,590.45,0.0,0.0,136.5425061,0.0,11,2018-02-18
2018-02-18 12:00:00,13.688333333333333,42.9,0.0,0.0,1022.75,642.7083333333333,0.0,0.0,111.8294086,0.0,12,2018-02-18
2018-02-18 13:00:00,15.335833333333333,36.51166666666666,0.0,0.0,1021.9166666666666,640.5416666666667,0.0,0.0,120.3847554,0.0,13,2018-02-18
2018-02-18 14:00:00,15.93,32.568333333333335,0.0,0.0,1021.0,573.6416666666665,0.0,0.0,149.8989856,0.0,14,2018-02-18
2018-02-18 15:00:00,16.064166666666665,30.1525,0.0,0.0,1021.0,453.25833333333327,0.0,0.0,147.349293,0.0,15,2018-02-18
2018-02-18 16:00:00,15.872499999999997,25.879166666666663,0.0,0.0,1021.0,291.4916666666666,0.0,0.0,150.0166122,0.0,16,2018-02-18
