Date,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,Power_kW,Holiday+Weekend,Hour,DayWeek,Power-1,logtemp
2017-06-11 13:00:00,25.31,38.544999999999995,7.535666666666668,9.163333333333334,1017.0,963.9166666666666,0.0,0.0,151.8320804,1.0,13,6,139.2288716,3.2311995745570328
2017-06-11 14:00:00,25.44583333333333,37.673333333333325,7.3755000000000015,9.539166666666665,1016.1666666666666,895.25,0.0,0.0,153.39345840000001,1.0,14,6,151.8320804,3.236552009881143
2017-06-11 15:00:00,25.0675,39.57166666666667,8.377166666666666,10.460833333333333,1016.0,777.25,0.0,0.0,153.3635285,1.0,15,6,153.39345840000001,3.2215721864159432
2017-06-11 16:00:00,23.384166666666662,44.96833333333333,8.827166666666665,10.690833333333332,1016.0,618.8166666666667,0.0,0.0,155.3640179,1.0,16,6,153.3635285,3.15205915516409
2017-06-11 17:00:00,22.294999999999998,48.95583333333334,7.8285833333333334,9.455083333333333,1016.0,431.6583333333333,0.0,0.0,154.28172759999998,1.0,17,6,155.3640179,3.10436243807944
2017-06-11 18:00:00,21.485833333333336,52.98666666666667,8.001583333333334,10.001666666666665,1016.0,236.35833333333332,0.0,0.0,154.3685871,1.0,18,6,154.28172759999998,3.067393803225218
2017-06-11 19:00:00,20.466666666666665,56.534166666666664,7.524166666666666,9.141666666666667,1016.0,66.0925,0.0,0.0,154.6796069,1.0,19,6,154.3685871,3.018797546484987
2017-06-11 20:00:00,19.104166666666668,61.518333333333324,8.57,10.293333333333335,1016.0,3.09975,0.0,0.0,152.7301867,1.0,20,6,154.6796069,2.949906461348574
2017-06-11 21:00:00,18.56,63.55916666666666,6.4675,8.070749999999999,1016.25,2.5118333333333336,0.0,0.0,151.7805926,1.0,21,6,152.7301867,2.9210087273580543
2017-06-11 22:00:00,18.3975,64.3,6.111166666666668,7.547999999999999,1016.6666666666666,2.82825,0.0,0.0,147.88907769999997,1.0,22,6,151.7805926,2.912214785818617
2017-06-11 23:00:00,17.9425,65.35333333333332,4.930333333333333,6.01725,1016.1666666666666,3.3382500000000004,0.0,0.0,146.1108649,1.0,23,6,147.88907769999997,2.8871722003220897
2017-06-12 00:00:00,17.474999999999998,66.01583333333333,4.692583333333333,5.849166666666668,1016.0,2.8585,0.0,0.0,145.2977344,0.0,0,0,146.1108649,2.860771288119874
2017-06-12 01:00:00,17.462500000000002,65.28750000000001,4.905833333333333,5.891166666666667,1015.0,2.200916666666666,0.0,0.0,144.23490900000002,0.0,1,0,145.2977344,2.86005572458308
2017-06-12 02:00:00,17.78,64.0575,5.2045,6.394916666666666,1014.75,2.9529166666666664,0.0,0.0,143.88516869999998,0.0,2,0,144.23490900000002,2.8780742300857587
2017-06-12 03:00:00,17.77583333333333,63.7575,5.218500000000001,6.163666666666667,1014.0,2.422416666666667,0.0,0.0,144.1530727,0.0,3,0,143.88516869999998,2.8778398569157257
2017-06-12 04:00:00,17.254166666666666,65.98916666666666,5.43375,6.435916666666667,1014.0,3.188416666666667,0.0,0.0,143.5980091,0.0,4,0,144.1530727,2.848053660203576
2017-06-12 05:00:00,17.71083333333333,64.35,3.5623333333333336,4.549666666666666,1014.5,30.211249999999996,0.0,0.0,150.2907952,0.0,5,0,143.5980091,2.874176505082599
2017-06-12 06:00:00,18.1825,63.695833333333326,2.5961666666666665,3.0819166666666664,1015.0,165.19166666666663,0.0,0.0,160.29093989999998,0.0,6,0,150.2907952,2.9004595930465586
2017-06-12 07:00:00,19.254166666666666,61.50416666666666,1.5864166666666666,2.033416666666666,1015.0,347.99166666666673,0.0,0.0,181.695423,0.0,7,0,160.29093989999998,2.957727487528275
2017-06-12 08:00:00,21.490000000000006,54.48916666666667,1.0203333333333335,1.6561666666666666,1015.0,538.9833333333333,0.0,0.0,234.10477090000003,0.0,8,0,181.695423,3.0675877106544194
2017-06-12 09:00:00,22.62333333333333,51.98250000000001,2.3236666666666665,3.039916666666667,1015.0,701.5416666666666,0.0,0.0,306.85975319999994,0.0,9,0,234.10477090000003,3.1189818220475574
2017-06-12 10:00:00,25.544999999999998,44.10833333333333,2.5088333333333335,3.3754166666666663,1014.3333333333334,837.25,0.0,0.0,357.155799,0.0,10,0,306.85975319999994,3.240441602782761
2017-06-12 11:00:00,28.025833333333335,38.03666666666666,2.11225,2.85125,1014.0,920.4166666666666,0.0,0.0,367.7147747,0.0,11,0,357.155799,3.333126703871474
2017-06-12 12:00:00,29.008333333333336,32.80916666666666,2.7305833333333336,3.627083333333333,1013.3333333333334,952.9166666666666,0.0,0.0,335.7975712,0.0,12,0,367.7147747,3.367583145029393
2017-06-12 13:00:00,29.58333333333334,30.596666666666668,3.6060000000000003,4.654083333333333,1012.5833333333334,930.8333333333334,0.0,0.0,348.4842907,0.0,13,0,335.7975712,3.3872111396874156
2017-06-12 14:00:00,30.235833333333332,29.5625,3.8487500000000003,4.842666666666667,1012.0,861.4166666666666,0.0,0.0,382.41768110000004,0.0,14,0,348.4842907,3.4090277552217674
2017-06-12 15:00:00,30.041666666666668,29.543333333333337,4.423583333333333,5.513833333333333,1011.1666666666666,744.1166666666668,0.0,0.0,397.8070915,0.0,15,0,382.41768110000004,3.4025853069370036
2017-06-12 16:00:00,29.546666666666663,29.861666666666665,4.701416666666667,5.848916666666665,1011.0,587.6166666666667,0.0,0.0,376.6037457,0.0,16,0,397.8070915,3.3859709343308637
2017-06-12 17:00:00,26.757500000000004,38.415,6.562,8.009916666666667,1010.9166666666666,375.7833333333333,0.0,0.0,315.8694903,0.0,17,0,376.6037457,3.286814807876394
2017-06-12 18:00:00,23.666666666666668,44.6,7.083500000000001,8.616916666666667,1010.0,127.00833333333331,0.0,0.0,243.23652990000002,0.0,18,0,315.8694903,3.164067588373206
2017-06-12 19:00:00,22.15833333333333,44.81,8.172916666666667,9.854166666666666,1010.1666666666666,33.14783333333334,0.0,0.0,209.00530559999999,0.0,19,0,243.23652990000002,3.0982136484609737
2017-06-12 20:00:00,21.2225,42.45499999999999,8.376666666666667,10.420250000000001,1010.75,1.4391666666666667,0.0,0.0,183.13896509999998,0.0,20,0,209.00530559999999,3.0550619396299856
2017-06-12 21:00:00,20.702499999999997,43.92666666666667,4.44625,5.2405,1011.3333333333334,0.8811666666666667,0.0,0.0,162.22152309999998,0.0,21,0,183.13896509999998,3.030254465925718
2017-06-12 22:00:00,21.311666666666667,41.7025,1.6282499999999998,2.012583333333333,1012.0,0.9109166666666666,0.0,0.0,136.5856219,0.0,22,0,162.22152309999998,3.059254653595022
2017-06-12 23:00:00,21.2075,42.54833333333334,1.9202500000000002,2.432,1011.3333333333334,0.9295000000000001,0.0,0.0,127.6991625,0.0,23,0,136.5856219,3.054354892699753
2017-06-13 00:00:00,20.406666666666663,49.7275,2.2361666666666666,2.7883333333333336,1011.0,1.0540833333333335,0.0,0.0,126.95614750000001,1.0,0,1,127.6991625,3.0158616448491564
2017-06-13 01:00:00,20.141666666666666,50.88833333333333,2.9176666666666673,3.5430833333333323,1010.5833333333334,1.1255833333333332,0.0,0.0,125.38514170000002,1.0,1,1,126.95614750000001,3.002790637921437
2017-06-13 02:00:00,19.634615384615383,55.343076923076914,3.9703076923076925,4.586461538461538,1011.0,1.699153846153846,0.0,0.0,126.73889409999998,1.0,2,1,125.38514170000002,2.977294099583238
2017-06-13 03:00:00,17.489166666666666,69.55833333333332,6.022083333333335,6.981333333333333,1011.0,1.8754999999999997,0.0,0.0,124.5667787,1.0,3,1,126.73889409999998,2.8615816416213296
2017-06-13 04:00:00,16.667500000000004,76.29166666666667,6.738416666666667,7.861999999999999,1011.0,2.10625,0.0,0.0,122.74838030000001,1.0,4,1,124.5667787,2.8134607155100784
2017-06-13 05:00:00,17.075000000000003,74.975,5.512,6.582833333333333,1011.5,14.714166666666666,0.0,0.0,122.60249820000001,1.0,5,1,122.74838030000001,2.837615405456854
2017-06-13 06:00:00,18.651666666666667,69.48916666666666,3.6776666666666666,4.444500000000001,1012.0,153.4375,0.0,0.0,119.8380638,1.0,6,1,122.60249820000001,2.925935507601881
2017-06-13 07:00:00,19.916666666666668,63.971666666666664,4.855083333333334,5.703166666666665,1012.0,291.675,0.0,0.0,121.6045558,1.0,7,1,119.8380638,2.99155690214351
2017-06-13 08:00:00,21.71166666666667,57.265833333333326,3.7895000000000003,5.157166666666667,1012.0,470.14166666666665,0.0,0.0,125.3550025,1.0,8,1,121.6045558,3.077849750481418
2017-06-13 09:00:00,22.305000000000003,55.45166666666666,3.5045833333333327,4.402583333333333,1011.9166666666666,688.5166666666668,0.0,0.0,132.3295064,1.0,9,1,125.3550025,3.1048108685802283
2017-06-13 10:00:00,26.02333333333333,38.42083333333333,1.7558333333333336,2.3899166666666667,1012.0,834.5833333333334,0.0,0.0,141.0874556,1.0,10,1,132.3295064,3.2589935714640896
2017-06-13 11:00:00,28.325833333333332,30.0725,2.6503333333333337,3.8154999999999997,1012.0,879.4833333333332,0.0,0.0,146.951623,1.0,11,1,141.0874556,3.343774226899068
2017-06-13 12:00:00,28.825,29.49333333333333,1.8850833333333334,2.6835,1011.25,688.4416666666667,0.0,0.0,150.3749338,1.0,12,1,146.951623,3.3612430661551227
2017-06-13 13:00:00,30.206666666666674,27.956666666666663,1.9114166666666668,2.59975,1011.0,870.6083333333332,0.0,0.0,157.6307369,1.0,13,1,150.3749338,3.4080626505708826
2017-06-13 14:00:00,26.566666666666666,35.775,5.473416666666666,7.108499999999999,1011.0,848.5,0.0,0.0,162.83686509999998,1.0,14,1,157.6307369,3.2796572971280598
2017-06-13 15:00:00,25.79416666666666,38.115,4.645416666666667,5.786416666666667,1011.0,732.9416666666666,0.0,0.0,152.1477048,1.0,15,1,162.83686509999998,3.2501483681723076
2017-06-13 16:00:00,24.9425,40.28166666666667,4.238499999999999,5.283083333333333,1011.0,576.6416666666667,0.0,0.0,151.3483881,1.0,16,1,152.1477048,3.216573175805525
2017-06-13 17:00:00,22.424166666666665,46.932500000000005,4.9145,6.309666666666668,1011.0,392.73333333333335,0.0,0.0,151.5340372,1.0,17,1,151.3483881,3.11013924634765
2017-06-13 18:00:00,22.790833333333335,50.25833333333333,2.7936666666666667,3.5851666666666664,1011.0,202.14166666666665,0.0,0.0,139.0438504,1.0,18,1,151.5340372,3.1263584083342923
2017-06-13 19:00:00,23.571666666666673,47.1325,3.0330833333333334,3.7735833333333333,1011.5833333333334,48.910833333333336,0.0,0.0,133.23912420000002,1.0,19,1,139.0438504,3.1600454258043538
2017-06-13 20:00:00,22.25833333333333,50.54416666666666,3.6445000000000003,4.46575,1012.0,2.0220833333333332,0.0,0.0,131.2417743,1.0,20,1,133.23912420000002,3.102716470327915
2017-06-13 21:00:00,21.7025,47.362500000000004,4.1074166666666665,5.052666666666666,1012.75,1.107,0.0,0.0,135.2387764,1.0,21,1,131.2417743,3.077427461283826
2017-06-13 22:00:00,21.53916666666667,44.830000000000005,3.073166666666667,4.004166666666666,1013.0,0.9801666666666667,0.0,0.0,125.6704176,1.0,22,1,135.2387764,3.0698729832670715
2017-06-13 23:00:00,21.483846153846155,44.41846153846154,2.7868461538461533,3.328692307692308,1013.0,0.9090769230769229,0.0,0.0,123.15860829999998,1.0,23,1,125.6704176,3.067301311053421
2017-06-14 00:00:00,21.24833333333334,52.76499999999999,1.1793333333333333,1.5932499999999996,1013.0,1.2846666666666666,0.0,0.0,122.2410371,0.0,0,2,123.15860829999998,3.056278460921976
2017-06-14 01:00:00,20.990000000000002,58.61583333333334,1.2228333333333332,1.5722499999999997,1013.0,3.005333333333333,0.0,0.0,124.36878090000002,0.0,1,2,122.2410371,3.0440461338325417
2017-06-14 02:00:00,20.68416666666667,60.512499999999996,0.7599166666666667,0.9852499999999998,1012.9166666666666,2.19375,0.0,0.0,121.50953359999998,0.0,2,2,124.36878090000002,3.029368512259521
2017-06-14 03:00:00,20.00583333333333,59.43833333333334,1.1583333333333334,1.5722499999999997,1013.0,2.6065,0.0,0.0,121.71632199999999,0.0,3,2,121.50953359999998,2.996023897694204
2017-06-14 04:00:00,19.51583333333333,60.098333333333336,1.1409166666666668,1.4673333333333332,1013.0,2.1499166666666665,0.0,0.0,121.36323290000001,0.0,4,2,121.71632199999999,2.971226101915758
